brand,product_code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
Sidi Ali,6111035000430,Sidi Ali,168.0,702.91,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.33,Medium,Medium,True
Jaouda,6111242100992,Perly,102.36,428.27,9.4,3.32,3.0,0.8,8.0,2.88,44.65,17.86,3.0,5.2,0.0,0.35,Medium,Low,False
sidi ali,6111035002175,Sidi Ali,142.92,597.98,14.95,2.26,6.24,0.4,5.84,1.8,65.0,26.0,2.2,0.0,0.0,0.15,Medium,Low,False
"Les Eaux Minérales d'oulmès,Sidi Ali",6111035000058,Eau minérale naturelle,107.28,448.86,15.54,2.1,2.28,0.18,4.8,2.7,65.0,26.0,1.0,0.0,0.0,0.14,Medium,Low,False
AQUAFINA,6111252421568,اكوافينا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3.2,0.0,0.0,0.0,Low,Low,False
Jaouda,6111266962187,Lait,51.26,214.47,4.9,0.0,1.5,1.0,3.1,2.88,0.22,0.09,3.0,-3.0,0.0,0.0,Low,Low,False
Cristaline,3274080005003,Eau De Source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,1.0,0.0,0.0,0.0,Low,Low,False
MILKY FOOD PROFESSIONAL,6111246721261,Fromage blanc nature,161.6,676.13,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,Medium,Low,False
Jaouda,6111242101180,uht jaouda 1L,63.6,266.1,4.8,0.0,3.0,0.0,3.0,2.7,0.0,0.0,1.0,-1.0,0.0,0.0,Low,Low,False
Jaouda,6111242106949,Jben,235.0,983.24,3.5,0.0,21.0,15.0,8.0,0.0,0.46,0.18,4.0,11.0,0.0,0.0,Medium,Low,True
Danone,6111128000071,Ain Saïss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Low,Low,False
Ain atlas,6111035502828,Eau minéral naturelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,Low,Low,False
Sidi Ali,6111035000027,6111035000027,2.0,8.37,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,3.2,0.0,0.0,0.0,Low,Low,False
"Marmite,Unilever",50184453,Marmite Yeast Extract,265.7,1111.69,30.0,1.2,0.5,0.1,34.0,2.6,10.8,4.32,4.0,23.0,0.73,0.04,Medium,Low,True
Jaouda,6111242100985,Jutos,101.2,423.42,4.2,0.0,6.0,0.0,7.6,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,Medium,Low,False
centrale danone,6111032009665,Lait Frais,50.1,209.62,4.8,0.0,1.5,1.0,3.0,2.7,0.0,0.0,1.0,-3.0,0.0,0.0,Low,Low,False
lilia,6111099003897,Unknown Product,676.2,2829.22,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,4.0,18.0,0.0,0.0,High,Low,True
Coca-Cola,5449000054227,Original Taste,47.6,199.16,10.6,10.6,0.0,0.0,0.0,2.6,0.0,0.0,4.0,12.0,0.0,1.0,Low,Medium,True
pepsi,6111252421582,اكوافينا,5.4,22.59,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,1.0,0.0,0.0,0.0,Low,Low,False
Lu,7622210449283,Prince Goût Chocolat,462.2,1933.84,69.0,32.0,17.0,5.6,6.3,4.0,0.49,0.2,4.0,20.0,6.81,0.46,High,High,True
Lindt&Sprüngli,3046920029759,Edelbitterschokolade Mild 90%,596.76,2496.84,14.0,7.0,55.0,30.0,10.0,2.88,0.03,0.01,3.0,19.0,0.0,0.5,High,Medium,False
Lindt,3046920028004,Excellence 70% Cocoa Intense Dark,548.76,2296.01,34.0,30.0,41.0,24.0,9.5,2.88,0.1,0.04,3.0,25.0,0.0,0.88,High,High,False
Les eaux minérales d'Oulmès S.A.,6111035003035,Oulmes natural carbonated water,174.54,730.28,30.98,3.29,3.7,2.74,4.08,0.5,0.78,0.31,2.4,0.0,0.0,0.11,Medium,Low,False
Ferrero,3017620425035,Nutella,538.5,2253.08,57.5,56.3,30.9,10.6,6.3,2.6,0.11,0.04,4.0,31.0,13.0,0.98,High,High,True
Coca cola,5449000147417,Orange juice,47.2,197.48,9.3,17.0,0.0,0.0,0.0,5.0,0.13,0.05,4.0,15.0,22.73,1.83,Low,High,True
Bimo,6111031005064,Tonik,116.1,485.76,16.5,9.2,5.1,2.5,1.0,0.1,0.05,0.02,2.0,28.0,0.0,0.56,Medium,Medium,False
Unknown Brand,6111180000231,Unknown Product,173.6,726.34,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,Medium,Low,True
Danone,6111128000163,Ain Saiss Eau Minerale Naturelle,0.2,0.84,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.8,0.0,0.0,0.0,Low,Low,False
Gerblé,3175680011480,Sésame,467.2,1954.76,64.0,17.0,18.0,2.0,10.0,4.6,0.38,0.15,4.0,9.0,10.8,0.27,High,High,True
Délicia,6111162000839,Confiture de fraise,255.78,1070.18,61.33,63.0,0.3,0.0,0.5,2.88,20.65,8.26,3.0,3.4,75.0,1.03,Medium,High,False
Eau minérale naturelle des Montagnes d'Atlas,6111035001659,Ain Atlas,107.22,448.61,9.22,7.88,5.26,1.98,5.5,0.5,0.0,0.0,2.4,0.0,0.0,0.85,Medium,Medium,False
Jaouda,6111242100206,Yaourt nature,78.5,328.44,8.0,0.0,3.3,2.4,4.2,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Low,Low,False
Gullón,8410376009392,zero sin azúcares Fibra,456.0,1907.9,65.0,0.5,17.0,1.7,6.1,9.3,0.65,0.26,4.0,2.0,0.0,0.01,High,Low,True
Lindt,3046920028363,Excellence 85% Cacao Rich Dark,557.76,2333.67,22.0,14.0,46.0,27.0,12.5,2.88,0.02,0.01,3.0,20.0,0.0,0.64,High,Medium,False
Eau minérale naturelle,6111035001635,Ain Atlas,3.2,13.39,0.0,0.0,0.0,0.0,0.0,1.6,120.0,48.0,3.8,0.0,0.0,0.0,Low,Low,False
Star,6111184004129,Mayonnaise recette originale,597.45,2499.73,0.22,0.05,65.21,9.8,1.12,2.6,1.75,0.7,4.0,12.0,0.0,0.23,High,Low,True
Jason’s,5025125000006,Sourdough White Ciabattin Bread,229.8,961.48,44.1,2.4,0.8,0.1,10.1,2.9,0.9,0.36,3.0,2.0,0.0,0.05,Medium,Low,False
Alpro,5411188112709,Geröstete Mandel Ohne Zucker,12.5,52.3,0.0,0.0,1.1,0.1,0.5,0.3,0.15,0.06,4.0,1.0,2.3,0.0,Low,Low,True
aïn Saiss,6111128000460,Unknown Product,222.18,929.6,26.8,1.21,10.7,1.52,3.32,2.7,0.02,0.01,1.0,0.0,0.0,0.05,Medium,Low,False
